ID,Subject,Group,Day,Quantity,IS,ATP,Citraconate,Citrate,Dihexose,Inosine,Lactate,Pyruvate,2-Oxoglutarate 
Control_Chicken1_Day1,Control_Chicken1,Control,Day1,30.9,38138468.09,6089.000973,180309.0288,23240.00371,13546.00216,310948.0497,886976.1417,46529.00743,40882.89909
Control_Chicken2_Day1,Control_Chicken2,Control,Day1,27.8,35573082.68,6335.001012,212464.0339,26143.00418,1391.000222,228635.0365,902410.1442,75277.01203,23616.83006
Control_Chicken3_Day1,Control_Chicken3,Control,Day1,38.35,34186399.46,3243.000518,186774.0298,24082.00385,57258.00915,305844.0489,853374.1363,63623.01017,39157.69235
Control_Chicken4_Day1,Control_Chicken4,Control,Day1,16.45,34973892.59,3551.000567,228225.0365,24294.00388,14933.00239,136071.0217,587579.0939,52647.00841,32997.95422
Control_Chicken5_Day1,Control_Chicken5,Control,Day1,20.1,32973531.27,2619.000418,214506.0343,29132.00465,3069.00049,239802.0383,919940.147,51020.00815,33936.06663
Control_Chicken6_Day1,Control_Chicken6,Control,Day1,27.85,32306976.16,3062.000489,204037.0326,24567.00393,2770.000443,226917.0363,855031.1366,75407.01205,30481.65268
Control_Chicken7_Day1,Control_Chicken7,Control,Day1,20.75,30962727.95,2985.000477,201888.0323,26858.00429,12915.00206,214343.0342,683656.1092,66212.01058,34065.08209
Fast_Chicken8_Day1,Fast_Chicken8,Fast,Day1,29.1,34132675.45,4332.000692,198572.0317,22368.00357,381.0000609,175410.028,818386.1308,60120.00961,29654.55357
Fast_Chicken9_Day1,Fast_Chicken9,Fast,Day1,8.35,27125442.5,5015.601031,215083.774,25784.08977,1266.151726,65754.87955,549717.8739,65635.86529,27616.30932
Fast_Chicken10_Day1,Fast_Chicken10,Fast,Day1,30.25,29686170.74,2390.000382,225231.036,21971.00351,1413.000226,185507.0296,906718.1449,103469.0165,39041.67845
Fast_Chicken11_Day2,Fast_Chicken11,Fast,Day2,18.65,24060530.84,5724.000915,240087.0384,28086.00449,1777.000284,117352.0188,565083.0903,79123.01264,29924.58593
