ID,Subject,Group,Day,Quantity,IS,1-methyladenosine,Glutamine,Guanosine,O-acetyl-L-serine,Glucosamine,Thiamine
Control_Chicken1_Day1,Control_Chicken1,Control,Day1,30.9,1483748.237,17045.00272,5172971.827,318554.0509,6489.001037,100062.9908,4808.576222
Control_Chicken2_Day1,Control_Chicken2,Control,Day1,27.8,1293928.207,6833.001092,3920704.626,209893.0335,10953.00175,55246.62033,2916.349473
Control_Chicken3_Day1,Control_Chicken3,Control,Day1,38.35,1032861.165,21344.00341,5242817.838,282514.0451,7457.001191,76217.13327,21381.5622
Control_Chicken4_Day1,Control_Chicken4,Control,Day1,16.45,737610.1179,4143.000662,3030137.484,102767.0164,1064.00017,40832.8931,1744.209012
Control_Chicken5_Day1,Control_Chicken5,Control,Day1,20.1,1017886.163,9804.001566,4137088.661,117596.0188,850.0001358,57936.94271,6725.805968
Control_Chicken6_Day1,Control_Chicken6,Control,Day1,27.85,1105312.177,11321.00181,3321786.531,176085.0281,543.0000868,47229.65964,7747.928452
Control_Chicken7_Day1,Control_Chicken7,Control,Day1,20.75,1053275.168,11246.0018,2286263.365,128585.0205,3156.000504,40960.90844,2316.277565
Fast_Chicken8_Day1,Fast_Chicken8,Fast,Day1,29.1,1191153.19,11238.0018,2497978.399,158048.0253,862.0001377,61711.39501,1588.190316
Fast_Chicken9_Day1,Fast_Chicken9,Fast,Day1,8.35,1067343.902,1560.186961,1005811.529,58027.95362,609.0729866,42287.06735,1546.185283
Fast_Chicken10_Day1,Fast_Chicken10,Fast,Day1,30.25,763199.1219,26101.00417,4353261.696,106788.0171,6285.001004,58444.00348,3101.371644
Fast_Chicken11_Day2,Fast_Chicken11,Fast,Day2,18.65,4384409.701,21683.00346,2621985.419,234012.0374,2156.000344,116015.9024,9552.144655
Fast_Chicken12_Day2,Fast_Chicken12,Fast,Day2,25.85,3285003.525,34413.0055,4916584.786,306990.049,9378.001498,142159.0352,8074.967641
Fast_Chicken13_Day2,Fast_Chicken13,Fast,Day2,20,2760137.441,31957.00511,2713041.433,185672.0297,502.0000802,183233.9573,6503.779362
Fast_Chicken14_Day2,Fast_Chicken14,Fast,Day2,14.45,2697442.431,42070.00672,2191006.35,194155.031,3328.000532,116615.9744,3599.431328
InsNeut_Chicken15_Day2,InsNeut_Chicken15,InsNeut,Day2,10.25,4531201.724,22228.00355,8549975.366,162276.0259,12852.00205,183150.9474,6104.731544
InsNeut_Chicken16_Day2,InsNeut_Chicken16,InsNeut,Day2,16.55,3665512.586,22975.00367,7185679.148,122610.0196,15054.00241,194500.3074,12351.48011
InsNeut_Chicken17_Day2,InsNeut_Chicken17,InsNeut,Day2,9.5,3498626.559,7080.001131,4355227.696,92907.01484,5651.000903,204800.5417,7537.903284
InsNeut_Chicken18_Day2,InsNeut_Chicken18,InsNeut,Day2,9.8,3896517.623,34758.00555,10029350.6,346228.0553,6147.000982,249763.9298,5557.665988
InsNeut_Chicken19_Day2,InsNeut_Chicken19,InsNeut,Day2,21.15,3273421.523,46853.00749,17810984.85,238008.038,23945.00383,443900.1936,16972.0338
InsNeut_Chicken20_Day2,InsNeut_Chicken20,InsNeut,Day2,34.55,2527792.404,55142.00881,12579630.01,176024.0281,20083.00321,323028.7093,11856.42078
InsNeut_Chicken21_Day2,InsNeut_Chicken21,InsNeut,Day2,14.55,2980911.476,36425.00582,9454723.511,258038.0412,17616.00281,248636.7947,6941.831855
Control_Chicken1_Day3,Control_Chicken1,Control,Day3,18.75,2857295.457,14538.00232,6192578.989,282044.0451,5999.000958,NA,NA
Control_Chicken2_Day3,Control_Chicken2,Control,Day3,11.6,2778586.444,9491.001516,2203005.352,110587.0177,1104.000176,NA,NA
Control_Chicken3_Day3,Control_Chicken3,Control,Day3,10.6,2481589.396,53573.00856,3584902.573,217753.0348,12546.002,NA,NA
Control_Chicken4_Day3,Control_Chicken4,Control,Day3,13.65,2047770.327,29814.00476,3773560.603,129664.0207,10735.00172,NA,NA
Control_Chicken5_Day3,Control_Chicken5,Control,Day3,13.1,1981240.317,15400.00246,2452243.392,111904.0179,5238.000837,NA,NA
Fast_Chicken8_Day3,Fast_Chicken8,Fast,Day3,10.05,2100506.336,16492.00264,1761258.281,93785.01498,783.0001251,NA,NA
Fast_Chicken11_Day3,Fast_Chicken11,Fast,Day3,7.55,3215080.514,5865.000937,1172491.187,117181.0187,1393.000223,NA,NA
Fast_Chicken12_Day3,Fast_Chicken12,Fast,Day3,15.3,3000952.479,41360.00661,2610722.417,174521.0279,4959.000792,NA,NA
InsNeut_Chicken15_Day3,InsNeut_Chicken15,InsNeut,Day3,13,3354477.536,3760.000601,9862006.576,180537.0288,5978.000955,NA,NA
InsNeut_Chicken16_Day3,InsNeut_Chicken16,InsNeut,Day3,11.75,2931861.468,26327.00421,6831056.091,102439.0164,11792.00188,NA,NA
InsNeut_Chicken17_Day3,InsNeut_Chicken17,InsNeut,Day3,27,2536074.405,36527.00584,11906113.9,307332.0491,18301.00292,NA,NA
