ID,Subject,Group,Strain,Day,Quantity,IS,Thymine,Urea,N-acetyl-glutamate,ADP,Tryptophan,Ornithine
BPA50_C_mouse1_Day1,BPA50_mouse1,BPA50,C,Day1,6.95,4859047,5516,90999,83209,NA,239072,15948
BPA500_C_mouse2_Day1,BPA500_mouse2,BPA500,C,Day1,7.15,5238356,5185,69542,26407,686,100330,26342
BPA5000_C_mouse3_Day1,BPA5000_mouse3,BPA5000,C,Day1,7.35,5257423,1957,130845,53170,3974,191639,43159
Control_C_mouse4_Day1,Control_mouse4,Control,C,Day1,12.85,5079308,8044,238918,57984,18986,283858,25445
BPA50_C_mouse5_Day1,BPA50_mouse5,BPA50,C,Day1,6.3,5239109,6392,107507,66125,10586,167051,17171
BPA500_C_mouse6_Day1,BPA500_mouse6,BPA500,C,Day1,14.65,5012908,5265,231653,75597,3033,450999,28961
BPA5000_C_mouse7_Day1,BPA5000_mouse7,BPA5000,C,Day1,11.5,5119246,3332,166938,54163,1327,170877,27590
Control_C_mouse8_Day1,Control_mouse8,Control,C,Day1,8.2,5246259,19298,128100,69836,50371,259284,31869
BPA500_C_mouse9_Day2,BPA500_mouse9,BPA500,C,Day2,10.5,5923963,6494,199770,35715,1688,212490,24453
BPA5000_C_mouse10_Day2,BPA5000_mouse10,BPA5000,C,Day2,13.4,6014421,5822,268960,52402,4168,203398,11051
Control_C_mouse11_Day2,Control_mouse11,Control,C,Day2,7.95,5556417,4261,144788,72471,815,145675,10815
BPA50_C_mouse12_Day2,BPA50_mouse12,BPA50,C,Day2,6.95,4962460,13103,93250,77571,219,149627,23019
BPA500_C_mouse13_Day2,BPA500_mouse13,BPA500,C,Day2,11.1,4206472,9984,894110,50932,4827,504176,17072
BPA5000_C_mouse14_Day2,BPA5000_mouse14,BPA5000,C,Day2,7.3,5297294,3572,154311,46360,32453,208966,22341
Control_C_mouse15_Day2,Control_mouse15,Control,C,Day2,9.55,5013112,6615,194570,56983,25118,201446,22306
BPA50_C_mouse16_Day2,BPA50_mouse16,BPA50,C,Day2,7.4,5525793,7605,142488,102391,1412,227419,14127
BPA50_D_mouse17_Day3,BPA50_mouse17,BPA50,D,Day3,13.25,3528057,4825,210555,40229,281,206083,15844
BPA500_D_mouse18_Day3,BPA500_mouse18,BPA500,D,Day3,24.6,3684331,7912,213997,142825,83,251116,123778
BPA5000_D_mouse19_Day3,BPA5000_mouse19,BPA5000,D,Day3,17.8,3540557,4923,405018,29631,29849,263893,96791
Control_D_mouse20_Day3,Control_mouse20,Control,D,Day3,15,3727349,6345,198263,28126,27774,175825,59889
BPA50_D_mouse21_Day3,BPA50_mouse21,BPA50,D,Day3,13.75,4080059,4768,406308,105749,1787,472271,58956
BPA500_D_mouse22_Day3,BPA500_mouse22,BPA500,D,Day3,23.1,4184027,5864,139048,66359,NA,197077,70007
BPA5000_D_mouse23_Day3,BPA5000_mouse23,BPA5000,D,Day3,8.25,4080030,4812,180360,36662,NA,223312,93180
Control_D_mouse24_Day3,Control_mouse24,Control,D,Day3,15.65,4030191,6441,201310,37243,NA,164036,54504
BPA50_D_mouse25_Day4,BPA50_mouse25,BPA50,D,Day4,14.15,3843604,6232,307988,47334,NA,252855,24886
BPA500_D_mouse26_Day4,BPA500_mouse26,BPA500,D,Day4,15.9,3468038,4218,204018,32445,NA,236489,55933
BPA5000_D_mouse27_Day4,BPA5000_mouse27,BPA5000,D,Day4,22,3518160,4274,96794,62646,NA,114933,39990
Control_D_mouse28_Day4,Control_mouse28,Control,D,Day4,21.8,3646171,9269,437325,47074,NA,345247,26955
BPA50_D_mouse29_Day4,BPA50_mouse29,BPA50,D,Day4,18.4,3523196,12090,239384,180707,NA,252716,29531
BPA500_D_mouse30_Day4,BPA500_mouse30,BPA500,D,Day4,18.2,3766929,10681,314189,31552,NA,325059,69513
BPA5000_D_mouse31_Day4,BPA5000_mouse31,BPA5000,D,Day4,12.25,3449999,5491,97395,52650,NA,121985,22756
Control_D_mouse32_Day4,Control_mouse32,Control,D,Day4,18.25,3803816,9173,275293,82851,NA,202655,29289
